,Open,High,Low,Close,Volume,Date
0,605.0,605.0,597.9,598.7,41101.0,2017-01-02 09:00:00+05:30
1,598.7,599.95,597.65,599.35,24140.0,2017-01-02 09:30:00+05:30
2,599.35,600.5,598.75,600.05,14593.0,2017-01-02 10:00:00+05:30
3,600.0,600.4,598.05,599.45,23014.0,2017-01-02 10:30:00+05:30
4,599.45,599.45,596.0,596.6,56075.0,2017-01-02 11:00:00+05:30
5,596.6,598.65,596.1,598.05,41768.0,2017-01-02 11:30:00+05:30
6,598.05,598.7,597.0,597.4,17146.0,2017-01-02 12:00:00+05:30
7,597.4,599.85,597.05,598.4,102298.0,2017-01-02 12:30:00+05:30
8,598.4,599.85,598.4,599.3,49767.0,2017-01-02 13:00:00+05:30
9,599.3,600.05,597.1,598.75,117161.0,2017-01-02 13:30:00+05:30
10,598.85,602.45,598.2,601.4,71704.0,2017-01-02 14:00:00+05:30
11,601.4,602.15,599.2,599.5,112789.0,2017-01-02 14:30:00+05:30
12,599.5,600.45,597.5,599.0,254723.0,2017-01-02 15:00:00+05:30
48,600.95,600.95,594.2,594.3,84013.0,2017-01-03 09:00:00+05:30
49,594.3,596.1,592.85,596.0,63893.0,2017-01-03 09:30:00+05:30
50,596.0,598.45,595.95,596.9,41999.0,2017-01-03 10:00:00+05:30
51,596.9,598.85,596.8,597.65,64219.0,2017-01-03 10:30:00+05:30
52,597.65,599.0,597.2,598.3,36575.0,2017-01-03 11:00:00+05:30
53,598.15,599.4,597.8,598.85,88336.0,2017-01-03 11:30:00+05:30
54,598.85,599.35,597.9,598.35,31409.0,2017-01-03 12:00:00+05:30
55,598.45,598.8,597.55,598.0,13424.0,2017-01-03 12:30:00+05:30
56,598.0,598.55,594.5,595.6,49274.0,2017-01-03 13:00:00+05:30
57,595.5,596.9,594.5,595.75,77811.0,2017-01-03 13:30:00+05:30
58,595.75,596.25,594.75,596.05,117078.0,2017-01-03 14:00:00+05:30
59,596.05,597.4,595.7,596.3,76323.0,2017-01-03 14:30:00+05:30
60,596.6,596.6,594.0,595.0,216400.0,2017-01-03 15:00:00+05:30
96,594.35,595.45,593.0,594.95,32319.0,2017-01-04 09:00:00+05:30
97,594.95,595.5,591.95,593.85,79733.0,2017-01-04 09:30:00+05:30
98,593.85,594.0,593.3,593.85,41861.0,2017-01-04 10:00:00+05:30
99,594.0,594.25,593.2,594.0,128547.0,2017-01-04 10:30:00+05:30
100,594.0,596.0,593.65,595.9,84218.0,2017-01-04 11:00:00+05:30
101,595.9,596.0,594.4,595.1,55144.0,2017-01-04 11:30:00+05:30
102,595.1,595.9,594.65,595.3,112172.0,2017-01-04 12:00:00+05:30
103,595.3,595.55,594.8,594.8,98023.0,2017-01-04 12:30:00+05:30
104,594.8,595.7,594.8,595.2,114604.0,2017-01-04 13:00:00+05:30
105,595.7,595.95,594.65,594.95,57653.0,2017-01-04 13:30:00+05:30
106,595.0,596.0,594.15,594.5,119255.0,2017-01-04 14:00:00+05:30
107,594.5,595.4,592.1,592.5,346361.0,2017-01-04 14:30:00+05:30
108,592.5,594.4,592.0,594.4,471064.0,2017-01-04 15:00:00+05:30
144,594.5,596.85,594.3,596.35,31100.0,2017-01-05 09:00:00+05:30
145,596.5,597.15,595.1,595.3,70594.0,2017-01-05 09:30:00+05:30
146,595.5,595.5,593.55,594.0,139503.0,2017-01-05 10:00:00+05:30
147,594.0,594.05,593.05,594.0,76899.0,2017-01-05 10:30:00+05:30
148,594.0,594.6,594.0,594.05,74699.0,2017-01-05 11:00:00+05:30
149,594.1,594.5,593.75,594.0,118296.0,2017-01-05 11:30:00+05:30
150,594.05,594.4,593.1,593.5,123068.0,2017-01-05 12:00:00+05:30
151,593.5,593.5,592.5,592.95,128035.0,2017-01-05 12:30:00+05:30
152,592.95,593.0,592.0,592.55,162755.0,2017-01-05 13:00:00+05:30
153,592.55,592.9,592.0,592.5,88157.0,2017-01-05 13:30:00+05:30
154,592.5,593.5,592.5,593.0,192211.0,2017-01-05 14:00:00+05:30
155,593.0,593.75,592.9,593.7,137456.0,2017-01-05 14:30:00+05:30
156,593.7,594.75,591.55,592.25,349488.0,2017-01-05 15:00:00+05:30
192,596.0,596.0,594.1,595.85,59119.0,2017-01-06 09:00:00+05:30
193,595.85,596.75,595.05,595.95,95817.0,2017-01-06 09:30:00+05:30
194,595.95,599.2,595.8,598.6,136876.0,2017-01-06 10:00:00+05:30
195,598.6,598.75,597.15,598.35,99611.0,2017-01-06 10:30:00+05:30
196,598.5,598.5,596.5,596.75,87550.0,2017-01-06 11:00:00+05:30
197,596.65,597.2,595.8,596.15,65303.0,2017-01-06 11:30:00+05:30
198,596.15,596.5,595.0,595.35,53356.0,2017-01-06 12:00:00+05:30
199,595.35,595.8,594.5,595.0,134456.0,2017-01-06 12:30:00+05:30
200,595.0,596.75,594.5,596.15,81163.0,2017-01-06 13:00:00+05:30
201,596.45,596.95,595.25,596.45,90389.0,2017-01-06 13:30:00+05:30
202,596.75,597.95,596.0,596.35,93111.0,2017-01-06 14:00:00+05:30
203,596.4,597.0,595.2,596.25,121614.0,2017-01-06 14:30:00+05:30
204,596.55,597.5,596.1,597.25,260353.0,2017-01-06 15:00:00+05:30
336,598.95,601.85,597.5,601.8,79054.0,2017-01-09 09:00:00+05:30
337,601.8,602.05,598.75,599.25,82058.0,2017-01-09 09:30:00+05:30
338,599.3,600.5,599.25,600.0,59778.0,2017-01-09 10:00:00+05:30
339,600.0,600.1,598.0,598.55,41602.0,2017-01-09 10:30:00+05:30
340,598.55,599.2,598.05,598.1,29479.0,2017-01-09 11:00:00+05:30
341,598.1,598.55,597.55,597.75,49748.0,2017-01-09 11:30:00+05:30
342,597.75,598.2,597.55,598.05,87826.0,2017-01-09 12:00:00+05:30
343,598.0,598.5,597.5,597.55,123324.0,2017-01-09 12:30:00+05:30
344,597.55,598.4,596.55,598.1,88259.0,2017-01-09 13:00:00+05:30
345,598.1,599.1,597.25,598.9,72242.0,2017-01-09 13:30:00+05:30
346,598.9,599.95,598.6,599.6,75666.0,2017-01-09 14:00:00+05:30
347,599.7,601.85,597.7,597.95,173026.0,2017-01-09 14:30:00+05:30
348,597.9,598.7,596.05,596.55,179260.0,2017-01-09 15:00:00+05:30
384,598.5,600.25,598.1,599.6,38823.0,2017-01-10 09:00:00+05:30
385,599.6,602.9,599.6,600.35,170662.0,2017-01-10 09:30:00+05:30
386,600.35,600.65,599.25,599.7,20480.0,2017-01-10 10:00:00+05:30
387,599.7,603.65,599.65,602.75,76346.0,2017-01-10 10:30:00+05:30
388,602.65,603.15,601.8,602.65,96262.0,2017-01-10 11:00:00+05:30
389,602.65,603.95,602.65,603.5,81392.0,2017-01-10 11:30:00+05:30
390,603.5,605.3,603.5,604.5,162531.0,2017-01-10 12:00:00+05:30
391,604.9,604.9,603.25,603.85,97546.0,2017-01-10 12:30:00+05:30
392,604.2,604.5,603.55,604.0,83346.0,2017-01-10 13:00:00+05:30
393,604.0,605.95,604.0,605.5,121653.0,2017-01-10 13:30:00+05:30
394,605.3,607.25,605.3,606.45,168193.0,2017-01-10 14:00:00+05:30
395,606.75,607.2,606.5,606.75,63169.0,2017-01-10 14:30:00+05:30
396,607.0,608.4,605.7,607.9,202972.0,2017-01-10 15:00:00+05:30
432,609.7,610.9,607.75,609.8,74320.0,2017-01-11 09:00:00+05:30
433,609.8,611.35,609.35,609.85,75997.0,2017-01-11 09:30:00+05:30
434,610.0,613.9,609.25,613.1,263196.0,2017-01-11 10:00:00+05:30
435,613.0,614.9,610.7,611.1,225936.0,2017-01-11 10:30:00+05:30
436,611.1,615.35,611.1,614.95,240933.0,2017-01-11 11:00:00+05:30
437,614.95,615.25,614.1,615.25,175825.0,2017-01-11 11:30:00+05:30
438,615.15,615.75,614.5,615.0,158135.0,2017-01-11 12:00:00+05:30
439,615.0,615.25,613.25,613.35,109397.0,2017-01-11 12:30:00+05:30
440,613.35,614.25,612.7,614.0,51288.0,2017-01-11 13:00:00+05:30
441,614.0,617.0,613.2,616.6,163509.0,2017-01-11 13:30:00+05:30
442,616.8,618.0,615.0,615.35,138818.0,2017-01-11 14:00:00+05:30
443,615.45,618.5,615.0,618.4,313096.0,2017-01-11 14:30:00+05:30
444,618.3,618.85,614.8,615.3,343368.0,2017-01-11 15:00:00+05:30
480,618.8,621.85,617.25,619.55,77969.0,2017-01-12 09:00:00+05:30
481,619.85,620.0,617.0,617.05,50016.0,2017-01-12 09:30:00+05:30
482,617.3,617.7,614.4,615.8,58598.0,2017-01-12 10:00:00+05:30
483,615.8,616.5,615.0,615.25,36788.0,2017-01-12 10:30:00+05:30
484,615.25,615.9,614.4,614.85,21390.0,2017-01-12 11:00:00+05:30
485,614.85,614.85,612.75,613.0,57648.0,2017-01-12 11:30:00+05:30
486,613.0,615.3,612.85,615.1,129835.0,2017-01-12 12:00:00+05:30
487,614.9,616.7,614.9,616.5,22428.0,2017-01-12 12:30:00+05:30
488,616.7,618.5,616.25,618.25,69530.0,2017-01-12 13:00:00+05:30
489,618.5,618.5,616.0,618.2,41790.0,2017-01-12 13:30:00+05:30
490,618.05,618.4,615.85,616.4,29445.0,2017-01-12 14:00:00+05:30
491,616.4,617.95,616.1,617.5,43834.0,2017-01-12 14:30:00+05:30
492,617.5,618.75,616.35,617.5,88241.0,2017-01-12 15:00:00+05:30
528,619.5,619.85,615.6,616.35,45721.0,2017-01-13 09:00:00+05:30
529,616.35,617.0,615.6,615.8,45137.0,2017-01-13 09:30:00+05:30
530,615.8,616.15,614.4,615.0,81965.0,2017-01-13 10:00:00+05:30
531,615.0,615.25,614.75,615.0,55523.0,2017-01-13 10:30:00+05:30
532,615.0,615.55,614.8,615.0,51260.0,2017-01-13 11:00:00+05:30
533,615.0,615.5,614.3,615.0,68102.0,2017-01-13 11:30:00+05:30
534,615.0,616.25,615.0,615.25,63686.0,2017-01-13 12:00:00+05:30
535,615.4,616.45,615.0,615.0,56900.0,2017-01-13 12:30:00+05:30
536,615.0,615.8,615.0,615.0,95323.0,2017-01-13 13:00:00+05:30
537,615.0,616.0,615.0,615.0,87656.0,2017-01-13 13:30:00+05:30
538,615.0,615.6,615.0,615.05,63425.0,2017-01-13 14:00:00+05:30
539,615.4,615.95,615.0,615.5,99037.0,2017-01-13 14:30:00+05:30
540,615.5,618.35,615.2,617.4,148354.0,2017-01-13 15:00:00+05:30
672,616.75,619.45,616.4,618.4,28896.0,2017-01-16 09:00:00+05:30
673,618.4,619.9,617.65,619.9,59733.0,2017-01-16 09:30:00+05:30
674,619.9,621.6,619.65,620.3,58676.0,2017-01-16 10:00:00+05:30
675,620.3,621.4,618.65,619.1,20943.0,2017-01-16 10:30:00+05:30
676,619.1,619.75,618.75,619.0,23337.0,2017-01-16 11:00:00+05:30
677,619.0,619.65,617.7,618.0,40336.0,2017-01-16 11:30:00+05:30
678,618.0,620.0,618.0,619.8,36359.0,2017-01-16 12:00:00+05:30
679,619.8,620.75,619.0,619.5,68268.0,2017-01-16 12:30:00+05:30
680,619.5,622.75,619.3,621.2,181653.0,2017-01-16 13:00:00+05:30
681,621.2,624.35,620.7,621.4,106663.0,2017-01-16 13:30:00+05:30
682,621.4,623.7,621.2,623.4,50654.0,2017-01-16 14:00:00+05:30
683,623.5,624.0,622.5,623.5,65672.0,2017-01-16 14:30:00+05:30
684,623.5,624.7,622.9,624.7,199646.0,2017-01-16 15:00:00+05:30
720,623.8,625.95,623.8,624.2,21305.0,2017-01-17 09:00:00+05:30
721,624.2,626.2,624.0,624.5,50451.0,2017-01-17 09:30:00+05:30
722,624.5,624.75,620.9,622.2,46348.0,2017-01-17 10:00:00+05:30
723,622.2,622.25,620.7,621.0,30301.0,2017-01-17 10:30:00+05:30
724,621.0,621.7,619.5,620.0,48401.0,2017-01-17 11:00:00+05:30
725,620.0,620.0,619.75,619.75,30148.0,2017-01-17 11:30:00+05:30
726,619.75,620.05,619.75,619.75,21836.0,2017-01-17 12:00:00+05:30
727,619.75,619.85,618.15,618.35,131968.0,2017-01-17 12:30:00+05:30
728,618.45,620.1,618.45,619.25,91187.0,2017-01-17 13:00:00+05:30
729,619.25,619.5,618.4,619.35,14543.0,2017-01-17 13:30:00+05:30
730,619.35,619.5,618.1,618.85,39900.0,2017-01-17 14:00:00+05:30
731,618.85,620.45,618.55,619.95,177522.0,2017-01-17 14:30:00+05:30
732,619.9,619.95,618.5,618.75,185114.0,2017-01-17 15:00:00+05:30
768,622.45,624.2,621.6,624.2,31814.0,2017-01-18 09:00:00+05:30
769,624.0,627.2,624.0,626.75,117423.0,2017-01-18 09:30:00+05:30
